OBJECTID,Prov_Cod,fecha,Muestras,Muestras_Acumulados,ConfirmadosFTM,Confirmados_AcumuladosFTM,Confirmados,Confirmados_Acumulados,Positividad_Dia,POSITIVIDAD_4sem,Positividad_Acum,Recuperados,Recuperados_Acumulados,Tasa_Recup,Muertes,Defunciones_Acumulados,Letalidad_Ac,Activos,Activos_INC_14D,CONFIRM_INC_14,FALLEC_INC_14
124,01,2020/05/03 00:00:00+00,152,10051,45,2945,39,3282,0.256578947368,0.276426174496644,0.326534673166,23,449,0.136806825106642,2,80,3.062461913467,2753,0.565093803297,0.74853489611,0.403508771929
125,01,2020/05/04 00:00:00+00,129,10180,37,2982,52,3334,0.403100775193,0.276548976507762,0.327504911591,21,470,0.140971805638872,1,81,3.053389322135,2783,0.504324324324,0.690669371196,0.421052631578
126,01,2020/05/05 00:00:00+00,386,10566,100,3082,97,3431,0.251295336787,0.274480510661415,0.324720802574,18,488,0.142232585252113,2,83,3.07956863888,2860,0.506055818852,0.684339715267,0.360655737704
127,01,2020/05/06 00:00:00+00,380,10946,103,3185,117,3548,0.307894736842,0.274604451595602,0.32413667093,27,515,0.145152198421646,2,85,3.08511837655,2948,0.484390735146,0.661826697892,0.39344262295
128,01,2020/05/07 00:00:00+00,449,11395,108,3293,102,3650,0.227171492204,0.272895467160037,0.320315928038,63,578,0.158356164383562,2,87,3.121917808219,2985,0.437861271676,0.631649530621,0.380952380952
129,01,2020/05/08 00:00:00+00,445,11840,119,3412,111,3761,0.249438202247,0.273868046571798,0.317652027027,45,623,0.165647434193034,4,91,3.148098909864,3047,0.434557438794,0.633796698523,0.4
130,01,2020/05/09 00:00:00+00,293,12133,82,3494,81,3842,0.276450511945,0.27404028886355,0.316657051017,31,654,0.170223841749089,3,94,3.15799062988,3094,0.433070866141,0.629346904156,0.446153846153
131,01,2020/05/10 00:00:00+00,237,12370,63,3557,64,3906,0.270042194092,0.274495138369484,0.315763945028,32,686,0.175627240143369,6,100,3.166922683051,3120,0.41689373297,0.623441396508,0.470588235294
132,01,2020/05/11 00:00:00+00,461,12831,159,3716,122,4028,0.264642082429,0.278922911950435,0.313927207544,45,731,0.181479642502483,2,102,3.18545183714,3195,0.477798334875,0.59209486166,0.478260869565
133,01,2020/05/12 00:00:00+00,357,13188,96,3812,118,4146,0.330532212885,0.279299400493711,0.314376706096,23,754,0.181862035697057,1,103,3.180897250361,3289,0.459183673469,0.568078668683,0.471428571428
134,01,2020/05/13 00:00:00+00,451,13639,138,3950,165,4311,0.365853658536,0.28079834824501,0.316078891414,24,778,0.180468568777546,4,107,3.163767107399,3426,0.439495798319,0.547935368043,0.507042253521
135,01,2020/05/14 00:00:00+00,408,14047,111,4061,115,4426,0.281862745098,0.28119349005425,0.315085071545,65,843,0.190465431540895,3,110,3.173746046091,3473,0.426283367556,0.539478260869,0.506849315068
136,01,2020/05/15 00:00:00+00,563,14610,151,4212,167,4593,0.296625222024,0.28099891422367,0.314373716632,37,880,0.191595906814718,0,110,3.180927498367,3603,0.386836027713,0.499510284035,0.410256410256
137,01,2020/05/16 00:00:00+00,360,14970,67,4279,82,4675,0.227777777777,0.278208258146694,0.312291249164,40,920,0.196791443850267,1,111,3.202139037433,3644,0.330412559328,0.441566450817,0.423076923076
138,01,2020/05/17 00:00:00+00,191,15161,45,4324,83,4758,0.434554973821,0.277256926156115,0.313831541455,33,953,0.200294241277848,3,114,3.18642286675,3691,0.340719215401,0.449725776965,0.425
139,01,2020/05/18 00:00:00+00,432,15593,104,4428,134,4892,0.310185185185,0.27618853710679,0.313730520105,36,989,0.202166802943581,2,116,3.187448896156,3787,0.360761767876,0.467306538692,0.432098765432
140,01,2020/05/19 00:00:00+00,520,16113,122,4550,135,5027,0.259615384615,0.27542161460932,0.311984112207,31,1020,0.202904316689875,1,117,3.205291426297,3890,0.360139860139,0.465170504226,0.409638554216
141,01,2020/05/20 00:00:00+00,547,16660,109,4659,142,5169,0.259597806215,0.272286351731497,0.310264105642,40,1060,0.20506867866125,3,120,3.223060553298,3989,0.353120759837,0.456877113866,0.411764705882
142,01,2020/05/21 00:00:00+00,529,17189,132,4791,103,5272,0.194706994328,0.268405632737926,0.30670777823,66,1126,0.213581183611533,2,122,3.260432473444,4024,0.348073701842,0.444383561643,0.402298850574
143,01,2020/05/22 00:00:00+00,480,17669,96,4887,85,5357,0.177083333333,0.265262373007736,0.303186371611,38,1164,0.217285794287848,1,123,3.298301288034,4070,0.335740072202,0.424355224674,0.351648351648
144,01,2020/05/23 00:00:00+00,390,18059,100,4987,62,5419,0.158974358974,0.264662486167466,0.300071986267,33,1197,0.220889463000554,3,126,3.3325336778,4096,0.32385261797,0.410463300364,0.340425531914
145,01,2020/05/24 00:00:00+00,143,18202,33,5020,41,5460,0.286713286713,0.264852859522487,0.299967036589,72,1269,0.232417582417582,0,126,3.333699633699,4065,0.302884615384,0.397849462365,0.26
146,01,2020/05/25 00:00:00+00,543,18745,142,5162,111,5571,0.204419889502,0.264831640833779,0.297199253134,45,1314,0.235864297253635,1,127,3.364746006103,4130,0.292644757433,0.383068520357,0.245098039215
147,01,2020/05/26 00:00:00+00,544,19289,122,5284,94,5665,0.172794117647,0.261332629169967,0.293690704546,45,1359,0.239894086496028,2,129,3.404942630185,4177,0.269990878686,0.366377231066,0.252427184466
148,01,2020/05/27 00:00:00+00,552,19841,136,5420,121,5786,0.21920289855,0.258927795638196,0.291618366009,58,1417,0.244901486346353,0,129,3.429139301762,4240,0.237594862813,0.342147993504,0.205607476635
149,01,2020/05/28 00:00:00+00,475,20316,101,5521,86,5872,0.181052631578,0.253736501079914,0.289033274266,47,1464,0.249318801089918,1,130,3.459809264305,4278,0.23178807947,0.326705829191,0.181818181818
150,01,2020/05/29 00:00:00+00,513,20829,106,5627,88,5960,0.171539961013,0.252059732234809,0.286139517019,71,1535,0.25755033557047,1,131,3.494798657718,4294,0.191784623924,0.297626823426,0.190909090909
151,01,2020/05/30 00:00:00+00,447,21276,84,5711,81,6041,0.181208053691,0.245908662496787,0.283934950178,69,1604,0.265518953815593,1,132,3.521933454726,4305,0.181394072447,0.292192513368,0.189189189189
152,01,2020/05/31 00:00:00+00,147,21423,37,5748,82,6123,0.557823129251,0.247136410968414,0.285814311721,74,1678,0.274048668953128,1,133,3.49877511024,4312,0.16824708751,0.286885245901,0.166666666666
153,01,2020/06/01 00:00:00+00,510,21933,97,5845,199,6322,0.390196078431,0.244066655445211,0.288241462636,51,1729,0.273489402087947,1,134,3.469313508383,4459,0.177449168207,0.292313982011,0.155172413793
154,01,2020/06/02 00:00:00+00,971,22904,225,6070,237,6559,0.244078269824,0.242690977679975,0.286369193154,41,1770,0.269858210093002,3,137,3.491995731056,4652,0.19588688946,0.304754326636,0.17094017094
155,01,2020/06/03 00:00:00+00,566,23470,135,6205,159,6718,0.280918727915,0.242017978921265,0.286237750319,37,1807,0.268978862756773,0,137,3.493599285501,4774,0.196791175733,0.29967111627,0.141666666666
156,01,2020/06/04 00:00:00+00,677,24147,161,6366,170,6888,0.251107828655,0.240966593439891,0.285252826438,52,1859,0.269889663182346,3,140,3.505662020905,4889,0.214960238568,0.306525037936,0.147540983606
157,01,2020/06/05 00:00:00+00,626,24773,166,6532,168,7056,0.268370607028,0.242113918373449,0.284826222096,91,1950,0.276360544217687,1,141,3.510912698412,4965,0.219901719901,0.317155124136,0.146341463414
158,01,2020/06/06 00:00:00+00,443,25216,86,6618,366,7422,0.82618510158,0.239683014354067,0.294336928934,61,2011,0.270951226084613,1,142,3.397466990029,5269,0.286376953125,0.369625392138,0.126984126984
159,01,2020/06/07 00:00:00+00,240,25456,58,6676,78,7500,0.325,0.23883509720033,0.29462602137,64,2075,0.276666666666667,3,145,3.394133333333,5280,0.298892988929,0.373626373626,0.150793650793
